"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","depurado","sinEspacios","statusCount","followers","favorites","friends","location","relevancia","localidadMayusculas","codProv","factorPonderacion"
"#Libra Hoy es momento de alejarse de esas personas que solo buscan presionarla, es mejor que busque un lugar mas tranquilo.",FALSE,0,NA,"2017-06-30 20:15:09",FALSE,NA,"880882420899352576",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LaOtraRadioec",0,FALSE,FALSE,NA,NA,"Libra Hoy es momento de alejarse de esas personas que solo buscan presionarlaes mejor que busque un lugar mas tranquilo.","LibraHoyesmomentodealejarsedeesaspersonasquesolobuscanpresionarlaesmejorquebusqueunlugarmastranquilo.",52817,11749,1545,8,NA,1468.625,NA,25,0
"¡AHORA EMPIEZA A VOTAR! <ed><U+00A0><U+00BC><ed><U+00BE><U+00A7> 
<ed><U+00A0><U+00BD><ed><U+00B4><U+009C> Así tu canción favorita estará en nuestro #ALFATOP20
¿Cuál es la mejor para ti ? <ed><U+00A0><U+00BC><ed><U+00B5><U+00B0><ed><U+00A0><U+00BD><ed><U+00B4><U+00A0><ed><U+00A0><U+00BC><ed><U+00B5><U+00B1>
A… https://t.co/95qOXG7gU3",FALSE,0,NA,"2017-07-06 20:11:36",TRUE,NA,"883055854173528064",NA,"<a href= http://twitter.com  rel= nofollow >Twitter Web Client</a>","radioalfaec",0,FALSE,FALSE,NA,NA,"HORA EMPIEZA A VOTARdUAUBCedUBEUA
dUAUBDedUBUCAsí tu canción favorita estará en nuestro ALFATOP
uál es la mejor para ti dUAUBCedUBUBedUAUBDedUBUAedUAUBCedUBUBA…","HORAEMPIEZAAVOTARdUAUBCedUBEUAdUAUBDedUBUCAsítucanciónfavoritaestaráennuestroALFATOPuáleslamejorparatidUAUBCedUBUBedUAUBDedUBUAedUAUBCedUBUBA…",39777,26777,4166,632,"Ecuador",42.3686708860759,"ECUADOR",25,NA
"Hola @CanelaRadioEc puede poner #Devu<e9>lvemeElCoraz<f3>n d @SebastianYatra porfavor @SebastianYatraE @GomiTwiin @andradedirak @UniversalMusicE",FALSE,0,NA,"03/07/2017 21:12",FALSE,NA,"8,81984E+17",NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""","jjmor8",0,FALSE,FALSE,NA,NA,"Hola CanelaRadioEc puede poner Devu<e9>lvemeElCoraz<f3>n d SebastianYatra porfavor SebastianYatraE GomiTwiin andradedirak UniversalMusicE","HolaCanelaRadioEcpuedeponerDevu<e9>lvemeElCoraz<f3>ndSebastianYatraporfavorSebastianYatraEGomiTwiinandradedirakUniversalMusicE",3717,82,189,194,NA,0.422680412371134,NA,25,0
"@CompaTeran @ControlMinero @CristinaSilvaEc @JavierCordovaEC @economista33 @CNACEcuador @TurismoEc @Ambiente_Ec… https://t.co/mAXH5xjgAT",FALSE,1,"ronimompiche","2017-07-10 16:57:50",TRUE,"884455432085012480","884456642280128512","231435575","<a href= http://twitter.com  rel= nofollow >Twitter Web Client</a>","ronimompiche",0,FALSE,FALSE,NA,NA,"CompaTeran ControlMinero CristinaSilvaEc JavierCordovaEC economista CNACEcuador TurismoEc Ambientec…","CompaTeranControlMineroCristinaSilvaEcJavierCordovaECeconomistaCNACEcuadorTurismoEcAmbientec…",4134,1047,46,987,"Somewhere on Earth",1.06079027355623,"SOMEWHERE ON EARTH",25,NA
"@LaOtraRadioec amigos buenos dias deseo mucho las entradas salsa viva #cobijasquito Katherine Yépez 036",FALSE,0,"LaOtraRadioec","2017-07-10 12:15:11",FALSE,NA,"884385511044984832","2581392690","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","KATYBSB4EVER",1,FALSE,FALSE,NA,NA,"LaOtraRadioec amigos buenos dias deseo mucho las entradas salsa viva cobijasquito Katherine Yépez","LaOtraRadioecamigosbuenosdiasdeseomucholasentradassalsavivacobijasquitoKatherineYépez",1457,86,58,323,"ECUADOR",0.26625386996904,"ECUADOR",25,0
"@CanelaRadioEc @Pepetoala se llama Victor Manuelle y la cancion se llama Si tu me besas mi nombre es Melanie Holguin",FALSE,0,"CanelaRadioEc","30/06/2017 17:09",FALSE,NA,"8,80836E+17","2411790656","<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""","ladymelanie96",0,FALSE,FALSE,NA,NA,"CanelaRadioEc Pepetoala se llama Victor Manuelle y la cancion se llama Si tu me besas mi nombre es Melanie Holguin","CanelaRadioEcPepetoalasellamaVictorManuelleylacancionsellamaSitumebesasminombreesMelanieHolguin",224,81,44,82,NA,0.98780487804878,NA,25,0
"#GiraDeMedios <d3>scar Salinas, mis<f3>logo visit<f3> radio @CanelaRadioEc 90.5 fm, Radiaci<f3>n Temprana para promocionar el<U+0085> https://t.co/JISBzFGPts",FALSE,1,NA,"19/07/2017 21:44",TRUE,NA,"8,8779E+17",NA,"<a href=\http://twitter.com/download/android\ rel=\nofollow\>Twitter for Android</a>","elipenarosado",0,FALSE,FALSE,NA,NA,"GiraDeMedios <d3>scar Salinasmis<f3>logo visit<f3> radio CanelaRadioEc  fmRadiaci<f3>n Temprana para promocionar el<U+0085>","GiraDeMedios<d3>scarSalinasmis<f3>logovisit<f3>radioCanelaRadioEcfmRadiaci<f3>nTempranaparapromocionarel<U+0085>",2932,1219,5302,4999,"Guayaquil",0.243848769753951,"GUAYAQUIL",9,0
"Inicia 1T  @CSEmelec   0-0  @elnacionalec

#FutbolEcuatortianoPorSucre",FALSE,0,NA,"2017-07-16 21:34:14",FALSE,NA,"886700526817202176",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","radio_sucre",0,FALSE,FALSE,NA,NA,"Inicia T  CSEmelec     elnacionalec

FutbolEcuatortianoPorSucre","IniciaTCSEmelecelnacionalecFutbolEcuatortianoPorSucre",63093,54313,70,714,"Guayaquil - Ecuador",76.1823281907433,"GUAYAQUIL - ECUADOR",9,0
"@CanelaRadioEc yo quiero una entrada para el show de #LaVecina!!!",FALSE,0,"CanelaRadioEc","14/07/2017 16:27",FALSE,NA,"8,85899E+17","2411790656","<a href=\http://twitter.com/download/android\ rel=\nofollow\>Twitter for Android</a>","hada_negra8",1,FALSE,FALSE,NA,NA,"CanelaRadioEc yo quiero una entrada para el show de LaVecina!","CanelaRadioEcyoquierounaentradaparaelshowdeLaVecina!",6037,841,444,580,"Salinas-Ecuador",1.45,"SALINAS-ECUADOR",24,0
"#Piscis Hoy no creas todo lo que escuchas, muchas veces son solo chismes sin sentido, es mejor que te asegures antes de actuar...",FALSE,0,NA,"2017-07-04 14:53:00",FALSE,NA,"882250901435691008",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LaOtraRadioec",0,FALSE,FALSE,NA,NA,"Piscis Hoy no creas todo lo que escuchasmuchas veces son solo chismes sin sentidoes mejor que te asegures antes de actuar.","PiscisHoynocreastodoloqueescuchasmuchasvecessonsolochismessinsentidoesmejorqueteaseguresantesdeactuar.",52817,11749,1545,8,NA,1468.625,NA,25,0
"RT @Teamshaw20: Hola amigos de @WQRadio_EC quisiera q programen  Volverte a ver  de @ShawMusica  feat @Legarda https://t.co/b0CdmFEub6 salu…",FALSE,0,NA,"2017-07-10 18:25:56",FALSE,NA,"884478812158910464",NA,"<a href= http://twitter.com/download/iphone  rel= nofollow >Twitter for iPhone</a>","aagftpuente",1,TRUE,FALSE,NA,NA,"Hola amigos de WQRadioC quisiera q programen  Volverte a ver  de ShawMusica  feat Legarda  salu…","HolaamigosdeWQRadioCquisieraqprogramenVolverteaverdeShawMusicafeatLegardasalu…",7932,250,1211,633,"San Borja, Peru",0.394944707740916,"SAN BORJA, PERU",25,NA
"RT @dimiquita: @CanelaRadioEc 

#CocinadoEcuador 

Yo quiero Salsa Viva xfa <ed><U+00A0><U+00BD><ed><U+00B9><U+0086>",FALSE,0,NA,"06/07/2017 15:33",FALSE,NA,"8,82986E+17",NA,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Lite</a>""","CanelaRadioEc",1,TRUE,FALSE,NA,NA,"

CocinadoEcuador 

Yo quiero Salsa Viva xfa dUAUBDedUBU>","CocinadoEcuadorYoquieroSalsaVivaxfadUAUBDedUBU>",39393,60936,2136,7,NA,8705.14285714286,NA,25,0
"@CanelaRadioEc @Pepetoala @LoroHomero MARIA ASANZA 

he tratadoo",FALSE,0,"CanelaRadioEc","17/07/2017 16:20",FALSE,NA,"8,86984E+17","2411790656","<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","MariaAsanza6",0,FALSE,FALSE,NA,NA,"CanelaRadioEc Pepetoala LoroHomero MARIA ASANZA 

he tratadoo","CanelaRadioEcPepetoalaLoroHomeroMARIAASANZAhetratadoo",38,0,0,2,NA,0,NA,25,0
"@WQRadio_EC @angelochoar Linda noche me complacen con #Mielconlimon de AurelioTamayo <ed><U+00A0><U+00BD><ed><U+00B8><U+009A>",FALSE,0,"WQRadio_EC","2017-07-13 00:32:24",FALSE,"885289819575914496","885295813357916160","423764833","<a href= https://mobile.twitter.com  rel= nofollow >Twitter Lite</a>","ArMai28",0,FALSE,FALSE,NA,NA,"WQRadioC angelochoar Linda noche me complacen con Mielconlimon de AurelioTamayo dUAUBDedUBUA>","WQRadioCangelochoarLindanochemecomplacenconMielconlimondeAurelioTamayodUAUBDedUBUA>",2170,86,228,146,"Guayaquil, Ecuador",0.589041095890411,"GUAYAQUIL, ECUADOR",9,NA
"voto para  #YsiFueraElla @AlejandroSanz @WQRadio_EC #MásEsMás",FALSE,0,NA,"2017-07-09 22:51:41",FALSE,NA,"884183303770820608",NA,"<a href= http://twitter.com  rel= nofollow >Twitter Web Client</a>","CandeSanz77",0,FALSE,FALSE,NA,NA,"voto para  YsiFueraElla AlejandroSanz WQRadioC MásEsMás","votoparaYsiFueraEllaAlejandroSanzWQRadioCMásEsMás",358,5,322,32,NA,0.15625,NA,25,NA
"#WQNoticias @BaironValleD: “Una de las cosas más importantes en el plan de trabajo es cumplirlo...  1/2",FALSE,0,NA,"2017-07-21 12:29:26",FALSE,NA,"888375361486147584",NA,"<a href= http://twitter.com  rel= nofollow >Twitter Web Client</a>","WQRadio_EC",0,FALSE,FALSE,NA,NA,"WQNoticias BaironValleD“Una de las cosas más importantes en el plan de trabajo es cumplirlo","WQNoticiasBaironValleD“Unadelascosasmásimportantesenelplandetrabajoescumplirlo",77414,17860,5274,426,"Guayaquil - Ecuador.",41.924882629108,"GUAYAQUIL - ECUADOR.",9,NA
"Muere Nelsan Ellis, actor de la serie <U+0091>True Blood<U+0092>",FALSE,0,NA,"10/07/2017 16:30",FALSE,NA,"8,8445E+17",NA,"<a href=\https://about.twitter.com/products/tweetdeck\ rel=\nofollow\>TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA,"Muere Nelsan Ellisactor de la serie <U+0091>True Blood<U+0092>","MuereNelsanEllisactordelaserie<U+0091>TrueBlood<U+0092>",99303,87044,937,1788,"Ecuador",48.6823266219239,"ECUADOR",25,0
"#Virgo Evita discutir por cosas sin sentido y q arruinen tu día, debes d vivir tranquilamente y feliz sin hacerte problema por nada...",FALSE,0,NA,"2017-07-14 00:18:44",FALSE,NA,"885654760560447488",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LaOtraRadioec",0,FALSE,FALSE,NA,NA,"Virgo Evita discutir por cosas sin sentido y q arruinen tu díadebes d vivir tranquilamente y feliz sin hacerte problema por nada.","VirgoEvitadiscutirporcosassinsentidoyqarruinentudíadebesdvivirtranquilamenteyfelizsinhacerteproblemapornada.",52817,11749,1545,8,NA,1468.625,NA,25,0
"RT @nenitaveras: Hola @WQRadio_EC podrían complacerá en con #HeyDJ para un buen fds<ed><U+00A0><U+00BD><ed><U+00B2><U+0083> de @CNCOmusic y mandar saludo @CNCOEcuadorVIP gracias",FALSE,0,NA,"2017-07-23 19:56:18",FALSE,NA,"889212597773447168",NA,"<a href= http://twitter.com/download/android  rel= nofollow >Twitter for Android</a>","gdtm020301",1,TRUE,FALSE,NA,NA,"Hola WQRadioC podrían complacerá en con HeyDJ para un buen fdsdUAUBDedUBUde CNCOmusic y mandar saludo CNCOEcuadorVIP gracias","HolaWQRadioCpodríancomplaceráenconHeyDJparaunbuenfdsdUAUBDedUBUdeCNCOmusicymandarsaludoCNCOEcuadorVIPgracias",140,22,1068,64,"Guayas, Ecuador",0.34375,"GUAYAS, ECUADOR",9,NA
"RT @RonnyAleaga: No podemos tomar decisiones con actores políticos nefastos que destruyeron, no solo el país, sino también Guayaquil. @WQRa…",FALSE,0,NA,"2017-07-17 15:24:58",FALSE,NA,"886969986618732544",NA,"<a href= https://about.twitter.com/products/tweetdeck  rel= nofollow >TweetDeck</a>","JosyCarrasco24",30,TRUE,FALSE,NA,NA,"No podemos tomar decisiones con actores políticos nefastos que destruyeronno solo el paíssino también GuayaquilWQRa…","NopodemostomardecisionesconactorespolíticosnefastosquedestruyeronnosoloelpaíssinotambiénGuayaquilWQRa…",636,36,3,45,NA,0.8,NA,25,NA
"#ESCORPIO Trata de hacer siempre lo que te vaya indicando el momento presente. Todo será fácil, si pones de tu parte para que así sea.",FALSE,1,NA,"2017-07-04 22:46:43",FALSE,NA,"882370112719900672",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LaOtraRadioec",0,FALSE,FALSE,NA,NA,"ESCORPIO Trata de hacer siempre lo que te vaya indicando el momento presenteTodo será fácilsi pones de tu parte para que así sea.","ESCORPIOTratadehacersiempreloquetevayaindicandoelmomentopresenteTodoseráfácilsiponesdetuparteparaqueasísea.",52817,11749,1545,8,NA,1468.625,NA,25,0
"@SoyFherWQradio  hola saludos queremos escuchar @jmisamusic #LaLunaLlena @WQRadio_EC <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> https://t.co/wNaxuD4b4G",FALSE,2,"SoyFherWQradio","2017-07-17 04:25:13",FALSE,NA,"886803956634144768","197449499","<a href= http://twitter.com/download/iphone  rel= nofollow >Twitter for iPhone</a>","CLUBDEFANSVC",1,FALSE,FALSE,NA,NA,"SoyFherWQradio  hola saludos queremos escuchar jmisamusic LaLunaLlena WQRadioC dUAUBDedUBUFedUAUBCedUBFUBBedUAUBDedUBUFedUAUBCedUBFUBBedUAUBDedUBUFedUAUBCedUBFUBB","SoyFherWQradioholasaludosqueremosescucharjmisamusicLaLunaLlenaWQRadioCdUAUBDedUBUFedUAUBCedUBFUBBedUAUBDedUBUFedUAUBCedUBFUBBedUAUBDedUBUFedUAUBCedUBFUBB",13522,786,325,436,"Portoviejo-ECUADOR",1.80275229357798,"PORTOVIEJO-ECUADOR",13,NA
"@CanelaRadioEc  saludos estimados los mejores locutores quiero entradas xfis  canta Victor manuelle @Pepetoala @LoroHomero  soy mireya reyes",FALSE,0,"CanelaRadioEc","30/06/2017 16:30",FALSE,NA,"8,80826E+17","2411790656","<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""","mireya_reyes25",1,FALSE,FALSE,NA,NA,"CanelaRadioEc  saludos estimados los mejores locutores quiero entradas xfis  canta Victor manuelle Pepetoala LoroHomero  soy mireya reyes","CanelaRadioEcsaludosestimadoslosmejoreslocutoresquieroentradasxfiscantaVictormanuellePepetoalaLoroHomerosoymireyareyes",307,14,140,54,NA,0.259259259259259,NA,25,0
"<ed><U+00A0><U+00BD><ed><U+00B9><U+008C>ADAPTATE AL CAMBIO <ed><U+00A0><U+00BD><ed><U+00B9><U+008C>
Gran tip de #SteveJobs 
<U+231A><U+FE0F>17:30 a 18:30 Lun - Vie
por wqradio… https://t.co/wcT81Izrta",FALSE,0,NA,"2017-07-12 19:19:26",FALSE,NA,"885217050456621056",NA,"<a href= http://instagram.com  rel= nofollow >Instagram</a>","Ec_Estrategias",0,FALSE,FALSE,NA,NA,"dUAUBDedUBUCDAPTATE AL CAMBIO dUAUBDedUBUCGran tip de SteveJobs 
AUEF a  Lun Vie
por wqradio…","dUAUBDedUBUCDAPTATEALCAMBIOdUAUBDedUBUCGrantipdeSteveJobsAUEFaLunVieporwqradio…",697,220,97,686,"Guayaquil, Ecuador",0.32069970845481,"GUAYAQUIL, ECUADOR",9,NA
"#WQNoticias Tráfico en el centro de #Guayaquil por gresca entre taxistas amarillos e informales. https://t.co/kHXcce7AMS",FALSE,1,NA,"2017-07-13 17:23:49",FALSE,NA,"885550342867484672",NA,"<a href= http://twitter.com  rel= nofollow >Twitter Web Client</a>","WQRadio_EC",0,FALSE,FALSE,NA,NA,"WQNoticias Tráfico en el centro de Guayaquil por gresca entre taxistas amarillos e informales","WQNoticiasTráficoenelcentrodeGuayaquilporgrescaentretaxistasamarilloseinformales",77414,17860,5274,426,"Guayaquil - Ecuador.",41.924882629108,"GUAYAQUIL - ECUADOR.",9,NA
"@LoroHomero @AsambleaEcuador Semanas atr<e1>s lo dijo en la <ed><U+00A0><U+00BD><ed><U+00B3><U+00BB>, no recibir el <ed><U+00A0><U+00BD><ed><U+00B3><U+00B1>; pero si los otros no reciben, hay si e<U+0085> https://t.co/yPmkUELYDK",FALSE,0,"LoroHomero","15/07/2017 16:52",TRUE,"8,86257E+17","8,86267E+17","267271723","<a href=\http://www.twitter.com\ rel=\nofollow\>Twitter for Windows</a>","arcentalesmanu",1,FALSE,FALSE,NA,NA,"LoroHomero AsambleaEcuador Semanas atr<e1>s lo dijo en la dUAUBDedUBUBB no recibir el dUAUBDedUBUB pero si los otros no recibenhay si e<U+0085>","LoroHomeroAsambleaEcuadorSemanasatr<e1>slodijoenladUAUBDedUBUBBnorecibireldUAUBDedUBUBperosilosotrosnorecibenhaysie<U+0085>",98,8,1073,97,"Quito",0.0824742268041237,"QUITO",17,0
"RT @MetroStereo: Hey! Cómo te sientes en este inicio de semana! Deja un número en la escala de @Pink #OnAir @KarlyCode through the #RouteOf…",FALSE,0,NA,"2017-07-17 20:19:00",FALSE,NA,"887043982647332864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KarlyCode",1,TRUE,FALSE,NA,NA,"HeyCómo te sientes en este inicio de semanaDeja un número en la escala de Pink OnAir KarlyCode through the RouteOf…","HeyCómotesientesenesteiniciodesemanaDejaunnúmeroenlaescaladePinkOnAirKarlyCodethroughtheRouteOf…",6168,1990,2067,871,"Quito-Ecuador",2.28473019517796,"QUITO-ECUADOR",17,0
"#Virgo Hoy no seas impaciente ya que nada bueno te va a llevar y solo te vas a meter en problemas por tu mala cabeza.",FALSE,0,NA,"2017-07-07 15:44:42",FALSE,NA,"883351074589089792",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LaOtraRadioec",0,FALSE,FALSE,NA,NA,"Virgo Hoy no seas impaciente ya que nada bueno te va a llevar y solo te vas a meter en problemas por tu mala cabeza.","VirgoHoynoseasimpacienteyaquenadabuenotevaallevarysolotevasameterenproblemasportumalacabeza.",52817,11749,1545,8,NA,1468.625,NA,25,0
"@WQRadio_EC @silvitabuendia Ella defiende sólo los derechos humanos de quienes le caen bien. Cuando ataca y es gros… https://t.co/r1RAq7RZXb",FALSE,0,"WQRadio_EC","2017-07-18 12:58:14",TRUE,"887288236611170304","887295447781572608","423764833","<a href= http://twitter.com/download/android  rel= nofollow >Twitter for Android</a>","mativargas81",0,FALSE,FALSE,NA,NA,"WQRadioC silvitabuendia Ella defiende sólo los derechos humanos de quienes le caen bienCuando ataca y es gros…","WQRadioCsilvitabuendiaElladefiendesólolosderechoshumanosdequieneslecaenbienCuandoatacayesgros…",389,21,191,58,"Quito, Ecuador",0.362068965517241,"QUITO, ECUADOR",17,NA
