"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","depurado","sinEspacios","statusCount","followers","favorites","friends","location","relevancia","localidadMayusculas","codProv","factorPonderacion"
"RT @tigresdelchaula: @vicobonil @pinzonfelipe @EPICENTRO_arte @EspaciadoraBar @labrujaecuador Certero...",FALSE,0,NA,"10/07/2017 1:10",FALSE,NA,"8,84218E+17",NA,"<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","alardillon",1,TRUE,FALSE,NA,NA,"Certero.","Certero.",2112,271,1110,652,"Quito",0.415644171779141,"QUITO",17,0
"Chance the Rapper donar<e1> su Grammy a museo",FALSE,0,NA,"01/07/2017 17:00",FALSE,NA,"8,81196E+17",NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""","labrujaecuador",0,FALSE,FALSE,NA,NA,"Chance the Rapper donar<e1> su Grammy a museo","ChancetheRapperdonar<e1>suGrammyamuseo",99302,87043,937,1788,"Ecuador",48.6817673378076,"ECUADOR",25,0
"@CharlieMejia_M @CanelaRadioEc Jajajaja igualitooo @CharlieMejia_M",FALSE,0,"CharlieMejia_M","29/06/2017 17:51",FALSE,"8,80478E+17","8,80484E+17","219034670","<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""","Reinita_azulita",0,FALSE,FALSE,NA,NA,"CharlieMejia CanelaRadioEc Jajajaja igualitooo CharlieMejia","CharlieMejiaCanelaRadioEcJajajajaigualitoooCharlieMejia",1361,206,307,270,"Guayaquil, Ecuador",0.762962962962963,"GUAYAQUIL, ECUADOR",9,0
"Charlize Theron llam<f3> a \equilibrar el campo\ entre hombres y mujeres en el g<e9>nero de esp<ed>as",FALSE,0,NA,"18/07/2017 21:30",FALSE,NA,"8,87424E+17",NA,"<a href=\https://about.twitter.com/products/tweetdeck\ rel=\nofollow\>TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA,"Charlize Theron llam<f3> a quilibrar el campoentre hombres y mujeres en el g<e9>nero de esp<ed>as","CharlizeTheronllam<f3>aquilibrarelcampoentrehombresymujeresenelg<e9>nerodeesp<ed>as",99302,87043,937,1788,"Ecuador",48.6817673378076,"ECUADOR",25,0
"RT @labrujaecuador: Chayanne felicidades en tu cumplea<f1>os desde la numero uno de Ecuador https://t.co/Ryd7KqyhN2",FALSE,0,NA,"08/07/2017 4:09",FALSE,NA,"8,83539E+17",NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""","LindaoCastr",6,TRUE,FALSE,NA,NA,"Chayanne felicidades en tu cumplea<f1>os desde la numero uno de Ecuador","Chayannefelicidadesentucumplea<f1>osdesdelanumerounodeEcuador",2149,19,1468,70,"Guayaquil, Ecuador",0.271428571428571,"GUAYAQUIL, ECUADOR",9,0
"chicoooossss... quiero la entrada..
@CanelaRadioEc y @Pepetoala  la canta Victor Manuelle y se llama HE TRATADO.<U+0085> https://t.co/WJhaToov8f",FALSE,1,NA,"17/07/2017 16:20",TRUE,NA,"8,86984E+17",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","elianitasg",0,FALSE,FALSE,NA,NA,"chicoooossssquiero la entrada
CanelaRadioEc y Pepetoala  la canta Victor Manuelle y se llama HE TRATADO","chicoooossssquierolaentradaCanelaRadioEcyPepetoalalacantaVictorManuelleysellamaHETRATADO",392,47,22,52,"Guayaquil,Ecuador",0.903846153846154,"GUAYAQUIL,ECUADOR",9,0
"@ChiliPeppers quiere tomarse un descanso en su carrera",FALSE,0,"ChiliPeppers","15/07/2017 7:00",FALSE,NA,"8,86118E+17","297047872","<a href=\https://about.twitter.com/products/tweetdeck\ rel=\nofollow\>TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA,"ChiliPeppers quiere tomarse un descanso en su carrera","ChiliPeppersquieretomarseundescansoensucarrera",99302,87043,937,1788,"Ecuador",48.6817673378076,"ECUADOR",25,0
"Chris Martin, vocalista de @Coldplay, cay<f3> en el <U+0093>Chantaje<U+0094> de @Shakira",FALSE,2,NA,"08/07/2017 9:00",FALSE,NA,"8,83612E+17",NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""","labrujaecuador",0,FALSE,FALSE,NA,NA,"Chris Martinvocalista de Coldplaycay<f3> en el <U+0093>Chantaje<U+0094> de Shakira","ChrisMartinvocalistadeColdplaycay<f3>enel<U+0093>Chantaje<U+0094>deShakira",99302,87043,937,1788,"Ecuador",48.6817673378076,"ECUADOR",25,0
"Christina Aguilera se luce en traje de ba<f1>o https://t.co/hB4bdeh5Vw",FALSE,1,NA,"07/07/2017 1:00",FALSE,NA,"8,83128E+17",NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""","labrujaecuador",0,FALSE,FALSE,NA,NA,"Christina Aguilera se luce en traje de ba<f1>o","ChristinaAguileraseluceentrajedeba<f1>o",99302,87043,937,1788,"Ecuador",48.6817673378076,"ECUADOR",25,0
"Christopher Nolan compara a Harry Styles con Heath Ledger tras ficharlo para su nueva pel<ed>cula",FALSE,3,NA,"10/07/2017 21:30",FALSE,NA,"8,84525E+17",NA,"<a href=\https://about.twitter.com/products/tweetdeck\ rel=\nofollow\>TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA,"Christopher Nolan compara a Harry Styles con Heath Ledger tras ficharlo para su nueva pel<ed>cula","ChristopherNolancomparaaHarryStylesconHeathLedgertrasficharloparasunuevapel<ed>cula",99302,87043,937,1788,"Ecuador",48.6817673378076,"ECUADOR",25,0
"RT @LeoEmer14: @CanelaRadioEc .. circo fuentes gasca darlin Emerson Rivas",FALSE,0,NA,"14/07/2017 17:47",FALSE,NA,"8,85919E+17",NA,"<a href=\https://mobile.twitter.com\ rel=\nofollow\>Twitter Lite</a>","CanelaRadioEc",1,TRUE,FALSE,NA,NA,"circo fuentes gasca darlin Emerson Rivas","circofuentesgascadarlinEmersonRivas",39393,60936,2136,7,NA,8705.14285714286,NA,25,0
"RT @danitmsa: @Pepetoala @CanelaRadioEc #circo mi nombre Javier Tigua",FALSE,0,NA,"14/07/2017 17:48",FALSE,NA,"8,85919E+17",NA,"<a href=\https://mobile.twitter.com\ rel=\nofollow\>Twitter Lite</a>","CanelaRadioEc",1,TRUE,FALSE,NA,NA,"circo mi nombre Javier Tigua","circominombreJavierTigua",39393,60936,2136,7,NA,8705.14285714286,NA,25,0
"Ciudad de Manchester postula a la cantante Ariana Grande como ciudadana honor<ed>fica",FALSE,1,NA,"13/07/2017 9:00",FALSE,NA,"8,85424E+17",NA,"<a href=\https://about.twitter.com/products/tweetdeck\ rel=\nofollow\>TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA,"Ciudad de Manchester postula a la cantante Ariana Grande como ciudadana honor<ed>fica","CiudaddeManchesterpostulaalacantanteArianaGrandecomociudadanahonor<ed>fica",99302,87043,937,1788,"Ecuador",48.6817673378076,"ECUADOR",25,0
"RT @Guillyldu: @CanelaRadioEc #CocinadoEcuador acoliten con unas entradas a daddy yankee",FALSE,0,NA,"06/07/2017 15:33",FALSE,NA,"8,82986E+17",NA,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Lite</a>""","CanelaRadioEc",1,TRUE,FALSE,NA,NA,"CocinadoEcuador acoliten con unas entradas a daddy yankee","CocinadoEcuadoracolitenconunasentradasadaddyyankee",39393,60936,2136,7,NA,8705.14285714286,NA,25,0
"RT @noemidomi: #cocinadoEcuador @CanelaRadioEc @LoroHomero Buen programa saludos quiero una entrada....",FALSE,0,NA,"29/06/2017 16:16",FALSE,NA,"8,8046E+17",NA,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Lite</a>""","CanelaRadioEc",1,TRUE,FALSE,NA,NA,"cocinadoEcuador CanelaRadioEc LoroHomero Buen programa saludos quiero una entrada","cocinadoEcuadorCanelaRadioEcLoroHomeroBuenprogramasaludosquierounaentrada",39393,60936,2136,7,NA,8705.14285714286,NA,25,0
"RT @ELIZABHETANALU: @CanelaRadioEc 
#cocinadoecuador

canelocos quiero una entrada para el big boss",FALSE,0,NA,"29/06/2017 16:16",FALSE,NA,"8,8046E+17",NA,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Lite</a>""","CanelaRadioEc",1,TRUE,FALSE,NA,NA,"
cocinadoecuador

canelocos quiero una entrada para el big boss","cocinadoecuadorcanelocosquierounaentradaparaelbigboss",39393,60936,2136,7,NA,8705.14285714286,NA,25,0
"RT @zulyromero: #cocinadoEcuador  los mejores en las ma<f1>anas quiero ir #salsaviva @CanelaRadioEc @Radiaciont @AlejaDuqueR",FALSE,0,NA,"29/06/2017 16:16",FALSE,NA,"8,8046E+17",NA,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Lite</a>""","CanelaRadioEc",1,TRUE,FALSE,NA,NA,"cocinadoEcuador  los mejores en las ma<f1>anas quiero ir salsaviva CanelaRadioEc Radiaciont AlejaDuqueR","cocinadoEcuadorlosmejoresenlasma<f1>anasquieroirsalsavivaCanelaRadioEcRadiaciontAlejaDuqueR",39393,60936,2136,7,NA,8705.14285714286,NA,25,0
