"polaridad","indice","textoLeer"
0,4717,"@CompaTeran @ControlMinero @CristinaSilvaEc @JavierCordovaEC @economista33 @CNACEcuador @TurismoEc @Ambiente_Ec� https://t.co/mAXH5xjgAT"
0,7522,"@LaOtraRadioec amigos buenos dias deseo mucho las entradas salsa viva #cobijasquito Katherine Y�pez 036"
1,876,"@CanelaRadioEc @Pepetoala se llama Victor Manuelle y la cancion se llama Si tu me besas mi nombre es Melanie Holguin"
1,1699,"#GiraDeMedios <d3>scar Salinas, mis<f3>logo visit<f3> radio @CanelaRadioEc 90.5 fm, Radiaci<f3>n Temprana para promocionar el<U+0085> https://t.co/JISBzFGPts"
0,4013,"Inicia 1T  @CSEmelec   0-0  @elnacionalec



#FutbolEcuatortianoPorSucre"
0,1078,"@CanelaRadioEc yo quiero una entrada para el show de #LaVecina!!!"
0,7779,"#Piscis Hoy no creas todo lo que escuchas, muchas veces son solo chismes sin sentido, es mejor que te asegures antes de actuar..."
1,4978,"RT @Teamshaw20: Hola amigos de @WQRadio_EC quisiera q programen  Volverte a ver  de @ShawMusica  feat @Legarda https://t.co/b0CdmFEub6 salu�"
0,1136,"RT @dimiquita: @CanelaRadioEc 



#CocinadoEcuador 



Yo quiero Salsa Viva xfa <ed><U+00A0><U+00BD><ed><U+00B9><U+0086>"
0,795,"@CanelaRadioEc @Pepetoala @LoroHomero MARIA ASANZA 



he tratadoo"
1,6055,"@WQRadio_EC @angelochoar Linda noche me complacen con #Mielconlimon de AurelioTamayo <ed><U+00A0><U+00BD><ed><U+00B8><U+009A>"
1,5722,"voto para  #YsiFueraElla @AlejandroSanz @WQRadio_EC #M�sEsM�s"
0,5802,"#WQNoticias @BaironValleD: �Una de las cosas m�s importantes en el plan de trabajo es cumplirlo...  1/2"
0,2337,"Muere Nelsan Ellis, actor de la serie <U+0091>True Blood<U+0092>"
0,8034,"#Virgo Evita discutir por cosas sin sentido y q arruinen tu d�a, debes d vivir tranquilamente y feliz sin hacerte problema por nada..."
1,5084,"RT @nenitaveras: Hola @WQRadio_EC podr�an complacer� en con #HeyDJ para un buen fds<ed><U+00A0><U+00BD><ed><U+00B2><U+0083> de @CNCOmusic y mandar saludo @CNCOEcuadorVIP gracias"
0,5375,"RT @RonnyAleaga: No podemos tomar decisiones con actores pol�ticos nefastos que destruyeron, no solo el pa�s, sino tambi�n Guayaquil. @WQRa�"
0,7411,"#ESCORPIO Trata de hacer siempre lo que te vaya indicando el momento presente. Todo ser� f�cil, si pones de tu parte para que as� sea."
1,5587,"@SoyFherWQradio  hola saludos queremos escuchar @jmisamusic #LaLunaLlena @WQRadio_EC <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> https://t.co/wNaxuD4b4G"
0,979,"@CanelaRadioEc  saludos estimados los mejores locutores quiero entradas xfis  canta Victor manuelle @Pepetoala @LoroHomero  soy mireya reyes"
0,4762,"<ed><U+00A0><U+00BD><ed><U+00B9><U+008C>ADAPTATE AL CAMBIO <ed><U+00A0><U+00BD><ed><U+00B9><U+008C>

Gran tip de #SteveJobs 

<U+231A><U+FE0F>17:30 a 18:30 Lun - Vie

por wqradio� https://t.co/wcT81Izrta"
0,6031,"#WQNoticias Tr�fico en el centro de #Guayaquil por gresca entre taxistas amarillos e informales. https://t.co/kHXcce7AMS"
0,2198,"@LoroHomero @AsambleaEcuador Semanas atr<e1>s lo dijo en la <ed><U+00A0><U+00BD><ed><U+00B3><U+00BB>, no recibir el <ed><U+00A0><U+00BD><ed><U+00B3><U+00B1>; pero si los otros no reciben, hay si e<U+0085> https://t.co/yPmkUELYDK"
0,6567,"RT @MetroStereo: Hey! C�mo te sientes en este inicio de semana! Deja un n�mero en la escala de @Pink #OnAir @KarlyCode through the #RouteOf�"
0,8049,"#Virgo Hoy no seas impaciente ya que nada bueno te va a llevar y solo te vas a meter en problemas por tu mala cabeza."
0,6283,"@WQRadio_EC @silvitabuendia Ella defiende s�lo los derechos humanos de quienes le caen bien. Cuando ataca y es gros� https://t.co/r1RAq7RZXb"
1,2696,"quisiera escuchar en estos momentos #FelicesLos4 de @maluma gracias @CanelaRadioEc"
0,1544,"RT @MusicBusinessEC: Escuchas a @JelozMusic con #MaquinaDeAmores en @CanelaRadioEc #Guayaquil."
0,1956,"Kanye West, Dwayne Johnson son algunos de los famosos que desean ser presidentes de EU"
1,868,"@CanelaRadioEc @Pepetoala saludos radiaci<f3>n temprana la respuesta es ASIA DE WILLY COLON"
0,3026,"@vagosconsuerte @CanelaRadioEc @ExxonDj @rpadpre @jalaldubois @carloaguilarn1 Donde puedo consultar a Carlota y Maruja de forma privada"
0,5956,"#WQNoticias Len�n Moreno asegur� que su Gobierno apostar� por la transparencia con el periodismo, al pedir que denu� https://t.co/5qYsGCAJ47"
0,2449,"RT @GardeniaTrivino: @CanelaRadioEc Participando para el Circo Nazca @LoroHomero  Saludos"
0,1087,"@CanelaRadioEc #yovoyasalsaviva <ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BC><ed><U+00BE><U+00B6>"
1,120,"RT @MarcosZerna: @CanelaRadioEc Asia Willie colon"
1,6118,"@WQRadio_EC @_CarlosRivera @GdZOficial  @WQRadio_EC: �Suena #LoDigo de @_CarlosRivera y @GdZOficial en� https://t.co/pZrJpPLwq0"
0,7081,"@AVAstudillo ,@radiopublicaEC ,@LaOtraRadioec ,pedimos urgente batidas y sancion a.vende perros en mercados  ord.048 https://t.co/mUMaLrMV2r"
0,1314,"<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> #DaddyEnQuito<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>



<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> #DaddyEnQuito<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>



<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> #DaddyEnQuito<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>



<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> #DaddyEnQuito<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>



@CanelaRadioEc 



<ed><U+00A0><U+00BD><ed><U+00B9><U+008B>yo kiero ir xfis



<ed><U+00A0><U+00BD><ed><U+00B9><U+008B>yo kiero ir xfis



<ed><U+00A0><U+00BD><ed><U+00B9><U+008B>yo kiero"
1,6306,"@WQRadio_EC @SoyFherWQradio en #CalentamientoRadialWQ quiero escuchar el remix #M�sQueAyer de Rakim� y Ken-Y ft Arcangel &amp, DeLaGhetto<U+2764>"
0,2620,"Pharrell Williams trabaja en disco de Ariana Grande, lo nuevo de Justin Timberlake tambi<e9>n es parte de su repertorio laboral"
0,6874,"#RIPChesterBennigton <ed><U+00A0><U+00BD><ed><U+00B2><U+0094> https://t.co/zPt7S2CUdd"
0,1613,"RT @claraluisasant1: @CanelaRadioEc @Pepetoala  FALTAN 16 DIAS"
0,6802,"Noche destinada para los panas de La Vieja Guardia en El Ma�anero con @AlespiAndrade chaca chaca uuuuuuuuuuu empezamos a contarles <ed><U+00A0><U+00BD><ed><U+00B8><U+0088>"
0,1222,"RT @ERICKDANNYY: @CanelaRadioEc  #DaddyYankee  #DaddyEnQuito  @daddy_yankee   @DYMFC_ECUADOR con ganas de ir al show  #DYARMY https://t.co/<U+0085>"
1,3423,"Hola @ExaFmEcuador    quisiera escuchar la cancion de FelicesLos4 FL4 de maluma por favor para MalumaFamilyNL <U+2764>8"
1,6853,"RT @grey936y: @MetroStereo #retometro greycabrera G green day; R R.E.M ; E evanecense ; Y yelow card"
1,5708,"RT @Ale18Lis: #UnAmorDeVerdad <ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BD><ed><U+00B8><U+008A> en @WQRadio_EC  de @ReikMx  @MundoReikEc @SonyMusicEC"
0,498,"@CanelaRadioEc hola muchachos bendiciones a todos saludos a vieja Laura"
0,1546,"RT @carxabriones: @CanelaRadioEc @Lavecinatomas @kattygarciam es la traga sable jajajaja"
0,5987,"#WQNoticias Registro Civil renovar� c�dulas en 7 consulados de Ecuador repartidos en USA, Venezuela, Espa�a e Itali� https://t.co/w8zxl5f5s1"
0,3112,"RT @LosJosemas: Vota por el #Qu<e9>Asco de la semana <ed><U+00A0><U+00BE><ed><U+00B4><U+00A2> y no te ganes ning<fa>n premio <ed><U+00A0><U+00BE><ed><U+00B5><U+0087> @CanelaRadioEc &lt;&lt;&lt;nominados por el p<fa>blico&gt;&gt;&gt;"
1,2542,"@Pepetoala @CanelaRadioEc OSCAR D'LE<d3>N ES VENEZOLANO"
1,2823,"RT @RoseGoyburo: @CanelaRadioEc @Pepetoala Se llama Asia. Quiero entradaaa. ROSA GOYBURO"
0,1056,"@CanelaRadioEc Victor Manuel.. pilas gente"
0,3798,"#Cuman<e1> En estos momentos en entrevista en el programa ""Construyendo Patria Sucre"" por Su Radio 95.9 FM.... https://t.co/XU05tMjlMB"
0,4497,"�La m�sica que te enciende en la tarde la escuchas junto a @SoyFherWQradio #CalentamientoRadialWQ <ed><U+00A0><U+00BD><ed><U+00B3><U+00BB><ed><U+00A0><U+00BC><ed><U+00BE><U+00B6>102.1Fm."
1,5614,"Suena ahora #DejaQueTeBese de @AlejandroSanz ft. @MarcAnthony en #OxigenoWQ #WQRADIO"
0,6554,"RT @grimogg: Gracias @MetroStereo por este super regalo del d�a del Rock de #gunsnroses !!! Ayer por fin logre retirar mi premio! <ed><U+00A0><U+00BD><ed><U+00B8><U+008E> https:/�"
0,2629,"RT @KevinAstudilloC: Pilas esa entrada al circo @CanelaRadioEc"
0,7906,"Se necesita, edad entre 25/ 30 a�os, experiencia comprobada de 5 a�os, responsable, honrado. Enviar CV: rrhhventsec@hotmail.com."
0,1620,"RT @cuchita_aguilar: @Pepetoala @CanelaRadioEc faltan 17 dias para el concierto ... saludos ... erika aguilar :)"
0,7919,"Se solicita con experiencia en Jefatura de Compras. Traer hoja de vida:  Jun�n 114 y Malec�n, Edificio Torres del R�o, piso 6, oficina 3."
0,3377,"@FutGooolEc @ClanJuvenilCD @radio_sucre Puede tomar cualquier medida pero debe retirarse. Hoy en d<ed>a es un paquetaz<U+0085> https://t.co/ahKgcEFidm"
0,2133,"RT @QuindeDouglas: @CanelaRadioEc  @Pepetoala la nacionalidad de Oscar de Leon es Venezolano soy Douglas Quinde Garrido"
0,5785,"#WQNoticias @BaironValleD: �El archivo obedece a cuestiones legales. Principios establecidos en la constituci�n�."
1,5072,"Hola @WQRadio_EC, me gustaria mucho escuchar el temazo #LOCA de Maite Perroni para bailar con esse reggaeton <ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BD><ed><U+00B2><U+0083> Gracias <ed><U+00A0><U+00BD><ed><U+00B8><U+0098>"
1,531,"@CanelaRadioEc la canci<f3>n se llama gitana soy Marcelo Rodr<ed>guez cevallos"
0,4139,"@MIES_Zona8 @GeovannyCanar @IvanEspinelM @SchezFernandez @radio_sucre @radiosonorama @radiopublicaEC @Jpguayaquil<U+0085> https://t.co/6V0qavvpwZ"
1,6423,"<U+26A1><U+FE0F>Cool Morning<U+26A1><U+FE0F> A mitad de tu semana, #Np @Audioslave en el #Breakfast ft @Teff_Palacios <ed><U+00A0><U+00BE><ed><U+00B4><U+0098><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><ed><U+00A0><U+00BD><ed><U+00B8><U+008E> #GoodVibes https://t.co/YA6iCtH9q1"
0,7632,"#LEO Lo mejor ser� que te disculpes ante un buen amigo al que, sin ser consciente de ello, heriste de alguna manera."
1,5277,"@marcoscumba gracias por complacerme cn tema de Cristina aguilera escuchandote #oxigeno  @WQRadio_EC #promoecuadorjyb <U+2764>"
0,276,"@CanelaRadioEc #cocinadoecuador saludos a mi conejita pacheco que la amo con todo mi coraz<f3>n de su osito Pacheco. Saludos canela..!!"
1,5009,"RT @nela_banchon: Hola <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> @WQRadio_EC me ayuda con #QuedateConmigo de @jesusmiranda <ed><U+00A0><U+00BD><ed><U+00B2><U+0083>gracias  y Buenas noches <U+270C> 

@chynomiranda_ec @ArtistGru�"
0,7416,"#ESTRENO @MichelleCorde #AlmaDeCart�n #MichelleCordero  #ECUADOR @AlfaRadioEc @LaOtraRadioec @CanelaRadioEc  https://t.co/rf1IHCkY1d"
0,3980,".@RhomyArteagaF subsec @SenpladesEc #Zona8Ec, difundi<f3> #PlanNacionalDesarrollo en @teleradio1350 @RadioMorena<U+0085> https://t.co/DE5b5ZDWFa"
0,2189,"RT @vagosconsuerte: Llegamos!!!!! Quien quiere pollo????? Conteste bonito y gana entradas a Daddy Yankee https://t.co/ePEC5LJZeP"
0,4092,"RT @andreavasquez83: @MIES_Zona5 @vanessafreirev @radio_sucre @RadioLibre9 Los j<f3>venes pueden promover proyectos culturales, educativos y d<U+0085>"
0,6740,"@MetroStereo @KarlyCode @Pink 3... <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+0086>"
0,3541,"Quinteros sobre @DelfinSC



""Gan<f3> la etapa Delf<ed>n es el mejor equipo. Tienen un gran entrenador que ha formado un gra<U+0085> https://t.co/6jf02vvbL4"
