"polaridad","indice","textoLeer"
1,6198,"@WQRadio_EC @JoelyBrian Sonó Increíble #Elijo  gracias @angelochoar #Madelayne que maravillosa @WQRadio_EC 
#PromoEcuadorJyB"
0,4701,"Casilla 03 #AlfaTop20 Conteo Final
@ShawnMendes - There's Nothing Holding Me Back https://t.co/zzPxhIPhuO"
0,2621,"\Spider-Man\ conquista la taquilla norteamericana y destrona a \Mi villano favorito 3\"
0,1591,"RT @jucarbabra: Es venezolano naci<f3> en Caracas @Pepetoala @CanelaRadioEc @"
0,7930,"Se solicita Vendedor Comisionista, disponible para viajar. Dejar  Currículum Vitae en: Chimborazo 1047 y Ayacucho ó en Colón 405- 407"
0,7786,"#Piscis Hoy no tengas temor a realizar cosas nuevas ya q estas te van a servir para mejorar en la vida y ser alguien mucho mejor.."
0,7835,"Requerimos con tiempo disponible para cargo de responsabilidad, cnc_2213hbl@hotmail.com."
0,6513,"En el #Breakfast ft @Teff_Palacios, siempre serás parte @ChesterBe. Estarás ahí, donde nunca se muere, con tu energ… https://t.co/FcnoPy1G3N"
1,1879,"* Hola porfaa aqu<ed> en sinton<ed>a con ustedes la mejor <ed><U+00A0><U+00BD><ed><U+00B1><U+008C> quisiera escuchar en estos momentos #FelicesLos4 de @maluma gracias @Canelaradioec <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>"
0,2328,"RT @rbermello95: @CanelaRadioEc @Pepetoala mi nombre  Ruben Vicente  Bermello Lainez 

R//vIctor Manuel y el segunso nombre de Hilda es Auro<U+0085>"
1,3414,"hola @ExaFmEcuador  nos pueden complacer conla  #Quedateconmigo de @jesusmiranda gracias!!! 

@ArtistGrup @UniversalMusicE @pvillalobosm"
1,2278,"Marat<f3>n del viernes @MalumaFamilyGye quisiera escuchar en estos momentos #FelicesLos4 de @maluma gracias @CanelaRadioEc <ed><U+00A0><U+00BE><ed><U+00B4><U+0097><ed><U+00A0><U+00BE><ed><U+00B4><U+0097><ed><U+00A0><U+00BE><ed><U+00B4><U+0097>"
0,2883,"RT @DY_David_: Si vas al concierto del #Jefe @daddy_yankee 

<fa>nete al #FanAction del @DYARMY_EQUADOR 

10 de Agosto #Ecuador  gracias a @Cane<U+0085>"
0,492,"@CanelaRadioEc Holaa buenos dias @Pepetoala @LoroHomero  el interprete de la cancion \si tu me besas es\"" es #victor_Manuelle"""
0,5728,"#VueloAParis  bestial !  @WQRadio_EC @radiomakro @JohannVera1"
0,2860,"Shia Labeouf se disculpa por insultos racistas a polic<ed>as"
1,5411,"RT @mayitonavas: @WQRadio_EC por fa quisiera escuchar a @HugoArmijosEC con Dame una mirada <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BC><ed><U+00BE><U+00A4> gracias!!"
0,6127,"@WQRadio_EC Buen día @Anibal24Smith que grandioso es escucharte dando #Oxigeno en las mañanas abrazos d toda #PromoEcuadorJyB fullOidos!!"
0,771,"@CanelaRadioEc @Pepetoala la respuesta es hilda aurora y V<ed>ctor Manuel es el artista mi nombre es lisett Herrera"
0,3882,"RT @FutGooolEc: Entrenamiento del @CSEmelec en el Polideportivo de Samanes.



Informa @Jrnochi

V<ed>deo @Radio_Sucre. https://t.co/SHuAmmK5EZ"
0,6619,"RT @secap_ec: Karla Sánchez es locutora en radio @MetroStereo, ella aplicó a la certificación en el sector comunicación #CertificamosTuExpe…"
0,3716,"RT @radio_sucre: 35 a<f1>os de @radio_sucre  https://t.co/MA9lgMn8ll"
0,5193,"RT @lacamaragye:  La CCG a través del @CeEcuatoriano  está aportando con propuestas propositivas, sobre todo en el tema tributario  @JCDGM…"
0,702,"@CanelaRadioEc @Pepetoala es venezolano"
0,955,"@CanelaRadioEc quiero ir al concierto de salsa viva"
1,4517,"@angelochoar me gustaria escuchar un temita de los @backstreetboys xfis x #lanochewq @WQRadio_EC #promoecuadorjyb"
0,2213,"@LoroHomero @CanelaRadioEc Una entrada xfaaaaa"
0,8023,"Ventas - Presentarse: Distribuidor CNT, Chimborazo 418 y Clemente Ballén, 1er piso, oficina 105."
0,5955,"#WQNoticias Lcda. Daniela Fernández:  Tenemos 180 estudiantes.  @ucasagrande"
0,3202,"RT @angelmax69: #yovoyasalsaviva @CanelaRadioEc @Pepetoala quiero esas entradas!"
0,821,"@CanelaRadioEc @Pepetoala maria asanza

estadounidense victor manuelle33"
0,1964,"Kendall Jenner recibe amenazas de un fan obsesionado"
0,511,"@CanelaRadioEc Jorge Rivera Castro https://t.co/V1EW9vWmvm"
0,2634,"Pitbull ser<e1> anfitri<f3>n de una fiesta de cuatro d<ed>as en un crucero"
0,1417,"RT @takashijakome: El invierno me dejo algo cansado #Trenes @revesecuador #NP por @labrujaecuador de las mejores bandas para disfrutar <ed><U+00A0><U+00BE><ed><U+00B4><U+0098><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>"
1,5113,"Hola @WQRadio_EC  quieto escuchar pensando en ti mujer de @JostinRamirezp"
0,3571,"Rober Burbano

""El equipo individual y colectivo venia bien, los <fa>ltimos partidos nos falto concretar el rival aprov<U+0085> https://t.co/FjETjjsZyS"
0,2662,"Productores llevan un a<f1>o trabajando en espect<e1>culo de Britney Spears, que costar<e1> m<e1>s de 2 mdd"
0,1727,"\The Keepers\"", de Netflix, trata sobre una investigaci<f3>n plena de suspenso sobre el asesinato cometido en 1969"""
0,3106,"RT @labrujaecuador: @PANCHOTELLO88 visitando la cabina m<e1>gica !!! https://t.co/sHNG02HYah"
0,2482,"@Pepetoala @CanelaRadioEc esta rica esa concha"
0,1042,"@CanelaRadioEc victor manuel el interprete"
1,6248,"@WQRadio_EC por fa quisiera escuchar a @HugoArmijosEC con Dame una mirada <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BC><ed><U+00BE><U+00A4> gracias!!"
0,5498,"@rminchalam:  Hay mucha gente que quiere estudiar y trabajar enseguida y busca carreras cortas .  vía @WQRadio_EC https://t.co/ojeWbSWctm"
0,4966,"Holaa buen dia @Anibal24Smith qe tengas un bendecido martes!! Salud desd #chile #oxigeno @WQRadio_EC #promoecuadorjyb"
1,172,"Buenas Tardes @CanelaRadioEc me podr<ed>an complacer con la canci<f3>n #MiGente <ed><U+00A0><U+00BC><ed><U+00BC><U+008E> de @JBALVIN <U+26A1><U+FE0F><U+26A1><U+FE0F> @jbalvin_ecuador  Gracias !"
0,1387,"El #1 de @Spotify @daddy_yankee este Verano 10 &amp; 12 @Agosto #Ecuador @DYMFC_ECUADOR @DnaGlobalEvents @CanelaRadioEc<U+0085> https://t.co/uzlxB3AUnK"
0,5876,"#WQNoticias En Cuenca se debate el alza del pasaje del bus urbano. https://t.co/MHSAkBYfxU"
0,290,"@CanelaRadioEc @daddy_yankee #DaddyEnQuito #daddyyankee #DaddyEnQuito"
0,3866,"Emelec quiere mantener su invicto ante Guayaquil<U+00A0>City https://t.co/RE4neiu0lq"
0,6910,"RT @MetroStereo: Se viene tu favorito de la mañana, #Np #CoreyTaylor con sus proyectos #Slipknot y #StoneSour en M2 de tu #Breakfast ft @Te…"
0,6337,"#WQSport  @BarcelonaSCweb  Barcelona obligado a sumar en su estadio hoy frente a  Fuerza Amarilla @FuerzAmarillaSC https://t.co/fItDD8Fqkm"
1,4991,"Hola Anibal @WQRadio_EC  quisiera escuchar #Ven de @PabloJaraEc <ed><U+00A0><U+00BC><ed><U+00BE><U+00B6>Yo seré la tinta y tú mi hoja de papel<ed><U+00A0><U+00BC><ed><U+00BE><U+00B6> #SueñaCantaAma"
0,7752,"Para taxi amarillo necesito, sector sur Guayaquil. 0981-167057."
0,403,"@CanelaRadioEc @Emersonmorocho No se vale :( muero por ganarme una entrada pero escucho por Internet y no son los mismos tiempos"
0,2178,"Llega \Mi villano favorito 3\"" y el imperdible thriller \""Viene de noche\"""""
1,5080,"Hola @WQRadio_EC   me pueden complacer con la canciòn de mi precioso @DANIELPAEZMusic  #MeQuedoContigo <ed><U+00A0><U+00BE><ed><U+00B4><U+0097><ed><U+00A0><U+00BE><ed><U+00B4><U+0097><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> gracias"
0,4886,"Feliz jueves  @SoyFherWQradio te saludo desde #Uruguay ya en sintonia #calentamientoradial
@WQRadio_EC 
#PromoEcuadorJyB <U+2764>"
0,6637,"RT @MetroStereo: #LaMetroEsCool Que tu martes sea como un riff de #Dimebag <ed><U+00A0><U+00BE><ed><U+00B4><U+0098><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><ed><U+00A0><U+00BD><ed><U+00B8><U+0088>. Nos escucharemos de vuelta mañana con más del #Breakfast ft…"
0,7702,"Necesita urgente prestigiosa Institución Educativa. Presentarse con  documentos Maldonado y la 26 esquina de 8H00- 12H00. 2471113."
0,3182,"#yovoyalconciertosalsaviva escuchando a filo de cama por @CanelaRadioEc"
